issue,count_20131,nan_20131,income_20131,expenses_20131,total_20131,count_20132,nan_20132,income_20132,expenses_20132,total_20132,count_20133,nan_20133,income_20133,expenses_20133,total_20133,count_20134,nan_20134,income_20134,expenses_20134,total_20134,count_20141,nan_20141,income_20141,expenses_20141,total_20141,count_20142,nan_20142,income_20142,expenses_20142,total_20142,count_20143,nan_20143,income_20143,expenses_20143,total_20143,count_20144,nan_20144,income_20144,expenses_20144,total_20144,count_20151,nan_20151,income_20151,expenses_20151,total_20151,count_20152,nan_20152,income_20152,expenses_20152,total_20152,count_20153,nan_20153,income_20153,expenses_20153,total_20153,count_20154,nan_20154,income_20154,expenses_20154,total_20154,count_20161,nan_20161,income_20161,expenses_20161,total_20161,count_20162,nan_20162,income_20162,expenses_20162,total_20162,count_20163,nan_20163,income_20163,expenses_20163,total_20163,count_20164,nan_20164,income_20164,expenses_20164,total_20164,count_20171,nan_20171,income_20171,expenses_20171,total_20171,count_20172,nan_20172,income_20172,expenses_20172,total_20172,count_20173,nan_20173,income_20173,expenses_20173,total_20173,count_20174,nan_20174,income_20174,expenses_20174,total_20174,count_20181,nan_20181,income_20181,expenses_20181,total_20181,count_20182,nan_20182,income_20182,expenses_20182,total_20182,count_20183,nan_20183,income_20183,expenses_20183,total_20183,count_20184,nan_20184,income_20184,expenses_20184,total_20184,count_20191,nan_20191,income_20191,expenses_20191,total_20191,count_20192,nan_20192,income_20192,expenses_20192,total_20192,count_20193,nan_20193,income_20193,expenses_20193,total_20193,count_20194,nan_20194,income_20194,expenses_20194,total_20194,count_20201,nan_20201,income_20201,expenses_20201,total_20201,count_20202,nan_20202,income_20202,expenses_20202,total_20202,count_20203,nan_20203,income_20203,expenses_20203,total_20203,count_20204,nan_20204,income_20204,expenses_20204,total_20204,count_20211,nan_20211,income_20211,expenses_20211,total_20211,count_20212,nan_20212,income_20212,expenses_20212,total_20212,count_20213,nan_20213,income_20213,expenses_20213,total_20213,count_20214,nan_20214,income_20214,expenses_20214,total_20214,count_20221,nan_20221,income_20221,expenses_20221,total_20221,count_20222,nan_20222,income_20222,expenses_20222,total_20222,count_20223,nan_20223,income_20223,expenses_20223,total_20223,count_20224,nan_20224,income_20224,expenses_20224,total_20224,count_20231,nan_20231,income_20231,expenses_20231,total_20231,count_20232,nan_20232,income_20232,expenses_20232,total_20232,count_20233,nan_20233,income_20233,expenses_20233,total_20233,count_20234,nan_20234,income_20234,expenses_20234,total_20234
i_AGR,750.0,104.0,13111359.0,72276513.69,85387872.69,846.0,100.0,15427081.5,87825786.15,103252867.65,804.0,101.0,13759499.0,87395876.03,101155375.03,811.0,105.0,14404426.75,90472504.61,104876931.36,765.0,112.0,13497081.62,95668463.6,109165545.22,710.0,96.0,13392643.54,86941329.09,100333972.63,663.0,90.0,12557601.0,86659921.58,99217522.58,622.0,79.0,13878338.0,74898421.16,88776759.16,623.0,88.0,12173852.35,76540745.57,88714597.91999999,658.0,82.0,12641788.0,85956818.0,98598606.0,639.0,84.0,12225011.0,76122944.2,88347955.2,643.0,89.0,11682878.0,76438444.44,88121322.44,667.0,93.0,12305025.0,85028347.67,97333372.67,687.0,91.0,13045181.0,83284227.26,96329408.26,676.0,84.0,13162838.0,82834183.24,95997021.24,646.0,76.0,12165712.0,55513592.59,67679304.59,688.0,78.0,13095200.0,66093179.76,79188379.75999999,717.0,84.0,14409471.0,60756324.16,75165795.16,732.0,91.0,14634682.0,51659157.36,66293839.36,756.0,89.0,15075000.0,59057850.82,74132850.82,852.0,110.0,16025399.0,75187512.32,91212911.32,967.0,113.0,18808012.0,92090673.35,110898685.35,1009.0,128.0,19541068.0,87650734.63,107191802.63,978.0,131.0,19192863.0,82993500.29,102186363.29,842.0,114.0,16810464.0,78896391.86,95706855.86,846.0,101.0,17032450.0,76597314.43,93629764.43,832.0,107.0,16563326.0,69371405.04,85934731.04,822.0,109.0,16810200.0,66616054.77,83426254.77000001,824.0,100.0,16870500.0,75579764.16,92450264.16,848.0,106.0,17017525.0,71653647.33,88671172.33,852.0,104.0,17738452.0,62058450.77,79796902.77000001,822.0,113.0,17971059.0,57656424.05,75627483.05,823.0,106.0,18076825.0,54869349.76,72946174.75999999,849.0,99.0,19582161.0,58863899.71,78446060.71000001,869.0,98.0,20540084.0,51499209.64,72039293.64,857.0,103.0,20760215.0,58778370.58,79538585.58,898.0,93.0,20676706.0,56639651.29,77316357.28999999,950.0,88.0,22337639.0,63937763.59,86275402.59,968.0,99.0,22856129.0,65174526.35,88030655.35,962.0,101.0,22557912.24,68802698.75,91360610.99,1117.0,107.0,26348067.0,76546497.6,102894564.6,1207.0,104.0,28931765.0,85659388.37,114591153.37,1243.0,118.0,29317360.0,80292812.29,109610172.29,1220.0,128.0,28852150.0,81020854.53,109873004.53
i_ART,55.0,26.0,575500.0,2538315.73,3113815.73,61.0,29.0,555500.0,3391297.61,3946797.61,56.0,26.0,613000.0,1886504.09,2499504.09,55.0,23.0,589000.0,1863008.35,2452008.35,62.0,29.0,507000.0,2359956.25,2866956.25,53.0,24.0,542000.0,1859210.0,2401210.0,52.0,21.0,649500.0,2425728.0,3075228.0,44.0,13.0,657000.0,1996357.0,2653357.0,60.0,23.0,644200.0,1511496.0,2155696.0,57.0,24.0,544933.0,1189907.0,1734840.0,55.0,19.0,617900.0,808013.0,1425913.0,55.0,19.0,730000.0,664846.0,1394846.0,54.0,20.0,582200.0,1270785.0,1852985.0,59.0,20.0,700200.0,1097879.0,1798079.0,61.0,21.0,928200.0,861613.0,1789813.0,56.0,19.0,815500.0,1017019.0,1832519.0,58.0,19.0,687500.0,1261981.0,1949481.0,59.0,19.0,795549.0,797691.0,1593240.0,62.0,18.0,932549.0,776224.0,1708773.0,51.0,6.0,869273.0,887137.0,1756410.0,51.0,6.0,812749.0,1197660.0,2010409.0,53.0,7.0,868055.0,1141755.0,2009810.0,52.0,6.0,884055.0,943809.0,1827864.0,50.0,4.0,840555.0,856810.0,1697365.0,49.0,3.0,769999.0,1448734.0,2218733.0,53.0,3.0,931219.0,1660962.66,2592181.66,52.0,4.0,958719.0,1399948.0,2358667.0,54.0,6.0,978219.0,1431216.0,2409435.0,72.0,10.0,1376219.0,3654271.9,5030490.9,73.0,9.0,1639345.0,2897002.0,4536347.0,81.0,11.0,1846220.0,3712693.58,5558913.58,75.0,10.0,1637249.0,3618716.0,5255965.0,83.0,11.0,1834499.0,3995759.56,5830258.5600000005,85.0,8.0,1976249.0,4298969.7,6275218.7,82.0,7.0,2083749.0,4122425.0,6206174.0,76.0,8.0,1996750.0,4083234.0,6079984.0,75.0,7.0,1927750.0,5347592.0,7275342.0,79.0,9.0,2039000.0,3378772.0,5417772.0,70.0,9.0,1836750.0,2802130.0,4638880.0,70.0,8.0,1496750.0,3843546.0,5340296.0,82.0,10.0,2038500.0,4003371.0,6041871.0,84.0,10.0,2448500.0,3861581.0,6310081.0,79.0,11.0,1957000.0,3316297.0,5273297.0,75.0,10.0,1854500.0,3127015.0,4981515.0
i_RES,149.0,24.0,2708000.0,5521886.85,8229886.85,152.0,22.0,2861750.0,13749072.64,16610822.64,152.0,26.0,2810000.0,4884792.06,7694792.06,140.0,17.0,2729000.0,3948535.19,6677535.1899999995,148.0,24.0,2894949.0,11248335.23,14143284.23,147.0,22.0,2877199.0,20775148.57,23652347.57,143.0,21.0,3033500.0,22028001.55,25061501.55,147.0,23.0,3034731.0,17220555.0,20255286.0,136.0,22.0,2784837.0,11096604.0,13881441.0,120.0,16.0,2354289.0,11503415.51,13857704.51,123.0,18.0,2396000.0,9494579.95,11890579.95,130.0,17.0,2767970.0,31907336.23,34675306.230000004,130.0,21.0,2559800.0,30439030.07,32998830.07,138.0,20.0,2705249.0,35576455.69,38281704.69,143.0,23.0,2697249.0,45057160.22,47754409.22,140.0,23.0,2573999.0,22616436.0,25190435.0,141.0,30.0,2475400.0,17087867.3,19563267.3,141.0,25.0,2893000.0,16051421.48,18944421.48,138.0,23.0,3107500.0,15586668.93,18694168.93,128.0,19.0,3134000.0,26862739.8,29996739.8,136.0,18.0,3204000.0,17759686.04,20963686.04,140.0,24.0,2932925.0,21452557.0,24385482.0,135.0,20.0,2997749.0,34014151.0,37011900.0,138.0,23.0,2896249.0,25385775.0,28282024.0,127.0,26.0,2341749.0,18089378.0,20431127.0,139.0,21.0,2871689.0,15417479.66,18289168.66,138.0,22.0,2792500.0,11986739.8,14779239.8,141.0,26.0,2775500.0,31741987.88,34517487.879999995,138.0,23.0,2763500.0,19481074.0,22244574.0,150.0,24.0,3141500.0,18655754.44,21797254.44,142.0,27.0,2957000.0,36761118.0,39718118.0,143.0,26.0,2940000.0,28714705.43,31654705.43,134.0,18.0,2578060.0,5979945.0,8558005.0,138.0,17.0,2966129.0,4795471.0,7761600.0,144.0,15.0,3143000.0,4754748.0,7897748.0,149.0,16.0,3199400.0,5928303.0,9127703.0,155.0,19.0,3116500.0,5739452.0,8855952.0,160.0,15.0,3248500.0,5689006.0,8937506.0,148.0,14.0,3176000.0,4013047.0,7189047.0,153.0,18.0,3243545.0,3422510.0,6666055.0,149.0,14.0,3448757.0,3547815.0,6996572.0,157.0,18.0,3446787.0,3922811.0,7369598.0,163.0,14.0,3799750.0,3771575.0,7571325.0,157.0,16.0,3651750.0,3911929.0,7563679.0
i_TAR,128.0,59.0,1125000.0,20464050.0,21589050.0,120.0,54.0,1115000.0,19428190.0,20543190.0,118.0,46.0,1340000.0,18567151.03,19907151.03,104.0,44.0,1085000.0,16328577.0,17413577.0,100.0,47.0,930000.0,21331224.0,22261224.0,99.0,43.0,1350000.0,19193484.0,20543484.0,82.0,30.0,1110000.0,17594369.0,18704369.0,74.0,29.0,2460000.0,14115869.0,16575869.0,60.0,17.0,571000.0,20732205.0,21303205.0,65.0,17.0,625500.0,18320839.0,18946339.0,67.0,18.0,657000.0,18454752.0,19111752.0,65.0,16.0,685000.0,16323556.0,17008556.0,63.0,12.0,680000.0,22708789.0,23388789.0,80.0,24.0,939000.0,14156428.0,15095428.0,63.0,20.0,785000.0,12197565.0,12982565.0,53.0,10.0,645000.0,13833355.0,14478355.0,70.0,27.0,702500.0,16019005.0,16721505.0,76.0,24.0,877500.0,11386725.0,12264225.0,88.0,27.0,915188.0,10981632.0,11896820.0,101.0,31.0,1215000.0,17077994.0,18292994.0,139.0,31.0,2210000.0,29429567.0,31639567.0,158.0,30.0,2698332.0,26327359.0,29025691.0,176.0,26.0,2939998.0,28212328.0,31152326.0,152.0,19.0,2798419.0,22463002.0,25261421.0,142.0,28.0,2241500.0,24829475.0,27070975.0,169.0,27.0,2719000.0,21240042.0,23959042.0,172.0,34.0,2507000.0,20461648.0,22968648.0,167.0,30.0,2798139.0,22576349.67,25374488.67,155.0,19.0,2524000.0,19074776.67,21598776.67,151.0,22.0,2305000.0,26447810.0,28752810.0,150.0,26.0,2189000.0,14040111.0,16229111.0,140.0,24.0,2041729.0,13545862.0,15587591.0,124.0,21.0,1829729.0,15453281.75,17283010.75,129.0,24.0,2788554.0,18093752.0,20882306.0,125.0,21.0,2631054.0,14315916.0,16946970.0,125.0,21.0,3586879.0,16439912.0,20026791.0,123.0,18.0,2149229.0,16309272.0,18458501.0,122.0,18.0,2041729.0,14476087.0,16517816.0,117.0,17.0,1969229.0,16239328.58,18208557.58,115.0,19.0,1845729.0,13192762.38,15038491.38,97.0,14.0,1528229.0,13244252.0,14772481.0,101.0,18.0,1437729.0,15752157.0,17189886.0,93.0,16.0,1372729.0,12409553.0,13782282.0,87.0,16.0,1282729.0,16292234.0,17574963.0
i_SMB,158.0,22.0,1933500.0,32384277.42,34317777.42,156.0,18.0,2128650.0,20977420.9,23106070.9,156.0,29.0,1971650.0,34697299.18,36668949.18,155.0,28.0,2535650.0,38226378.71,40762028.71,148.0,16.0,2256000.0,44754904.12,47010904.12,163.0,19.0,2290000.0,48604926.35,50894926.35,157.0,17.0,2796862.0,52514160.72,55311022.72,140.0,14.0,1949000.0,44914608.15,46863608.15,151.0,18.0,2550542.0,36534490.27,39085032.27,156.0,11.0,2953691.0,42901683.91,45855374.91,161.0,19.0,2636506.0,40185761.0,42822267.0,161.0,12.0,2131250.0,40427778.0,42559028.0,176.0,21.0,2617500.0,23562234.0,26179734.0,177.0,19.0,2538500.0,49277511.0,51816011.0,174.0,24.0,2415500.0,24116816.0,26532316.0,157.0,22.0,2058500.0,25139245.0,27197745.0,176.0,26.0,2321900.0,30345372.0,32667272.0,183.0,23.0,2520600.0,35298026.0,37818626.0,189.0,24.0,2628000.0,44369599.21,46997599.21,177.0,22.0,2551912.0,50316434.77,52868346.77,182.0,23.0,2384000.0,48790290.0,51174290.0,179.0,23.0,2355385.0,49810834.5,52166219.5,175.0,24.0,2165500.0,50060770.6,52226270.6,165.0,25.0,2101000.0,47793761.15,49894761.15,160.0,23.0,1945000.0,44410120.0,46355120.0,166.0,21.0,2054500.0,42257878.05,44312378.05,170.0,22.0,2201500.0,42772599.0,44974099.0,178.0,23.0,2337250.0,48385189.3,50722439.3,390.0,36.0,6940000.0,79837966.0,86777966.0,564.0,49.0,11048500.0,86487323.0,97535823.0,530.0,51.0,9257565.0,112301039.0,121558604.0,506.0,57.0,8947004.0,107476203.46,116423207.46,444.0,44.0,8016259.0,80155210.95,88171469.95,406.0,35.0,8027340.0,72379676.0,80407016.0,372.0,39.0,7466634.0,77193328.27,84659962.27,365.0,42.0,8106704.0,85530852.54,93637556.54,353.0,37.0,7077926.0,84367879.38,91445805.38,360.0,43.0,7012597.0,81792510.0,88805107.0,343.0,38.0,6745352.0,106883497.58,113628849.58,323.0,39.0,5957879.0,98067979.38,104025858.38,285.0,37.0,5160688.0,66263510.0,71424198.0,285.0,30.0,5339479.0,62997500.0,68336979.0,295.0,24.0,5386103.0,58566757.0,63952860.0,293.0,26.0,5756979.0,63269782.0,69026761.0
i_MIA,37.0,3.0,935000.0,9396783.86,10331783.86,40.0,3.0,985000.0,10757436.86,11742436.86,39.0,2.0,900000.0,22859537.86,23759537.86,37.0,3.0,940000.0,10561422.86,11501422.86,39.0,3.0,915000.0,9458287.86,10373287.86,40.0,3.0,880000.0,6866667.86,7746667.86,36.0,1.0,885000.0,7276137.86,8161137.86,33.0,3.0,793000.0,6930357.86,7723357.86,27.0,3.0,800000.0,3548537.0,4348537.0,28.0,3.0,800000.0,3893662.0,4693662.0,25.0,3.0,770000.0,3762576.0,4532576.0,26.0,4.0,620000.0,3364812.0,3984812.0,26.0,5.0,620000.0,4064002.0,4684002.0,26.0,4.0,695000.0,3751803.0,4446803.0,25.0,4.0,667500.0,3577644.0,4245144.0,25.0,4.0,712500.0,3200181.0,3912681.0,23.0,3.0,505000.0,6716333.0,7221333.0,23.0,3.0,555000.0,5694480.0,6249480.0,24.0,4.0,485000.0,6034065.0,6519065.0,23.0,2.0,495000.0,6271035.0,6766035.0,23.0,3.0,545000.0,7413924.0,7958924.0,25.0,6.0,640000.0,9821560.0,10461560.0,31.0,4.0,870000.0,8852857.0,9722857.0,28.0,3.0,617500.0,5388366.0,6005866.0,24.0,3.0,537500.0,6540000.0,7077500.0,30.0,5.0,617500.0,9430000.0,10047500.0,27.0,4.0,1425500.0,9210000.0,10635500.0,32.0,7.0,1820500.0,7260000.0,9080500.0,36.0,3.0,1775500.0,8480000.0,10255500.0,32.0,4.0,1395500.0,8530000.0,9925500.0,39.0,2.0,1986500.0,8357500.0,10344000.0,37.0,5.0,1243700.0,8117500.0,9361200.0,35.0,6.0,1022500.0,8622500.0,9645000.0,43.0,5.0,1429500.0,9100500.0,10530000.0,38.0,3.0,1410500.0,8922500.0,10333000.0,37.0,4.0,1235000.0,9326583.0,10561583.0,38.0,5.0,1315000.0,9236814.0,10551814.0,38.0,4.0,1405000.0,6348857.0,7753857.0,41.0,5.0,1552907.0,5880000.0,7432907.0,43.0,6.0,2280000.0,4540000.0,6820000.0,39.0,2.0,2260000.0,5940000.0,8200000.0,44.0,2.0,2088750.0,6863000.0,8951750.0,42.0,2.0,1628750.0,7215000.0,8843750.0,40.0,3.0,1338750.0,6270000.0,7608750.0
i_FOO,240.0,25.0,4501000.0,25751416.09,30252416.09,256.0,21.0,4846500.0,33903641.86,38750141.86,238.0,21.0,4514666.0,35517228.22,40031894.22,254.0,25.0,5125225.0,53106752.27,58231977.27,262.0,30.0,5006750.0,54762882.65,59769632.65,271.0,22.0,5586818.31,57579715.06,63166533.370000005,261.0,26.0,5692900.0,68068617.42,73761517.42,259.0,27.0,6400000.0,54266367.14,60666367.14,270.0,23.0,6837024.0,38495167.51,45332191.51,292.0,22.0,6355843.0,40461608.82,46817451.82,297.0,31.0,6142831.0,55164979.84,61307810.84,288.0,30.0,5608000.0,52795152.0,58403152.0,291.0,30.0,5449250.0,55542644.97,60991894.97,303.0,31.0,5870000.0,58836066.8,64706066.8,293.0,28.0,5467500.0,52635315.8,58102815.8,257.0,32.0,5031500.0,34125524.69,39157024.69,241.0,33.0,4261750.0,30766377.0,35028127.0,253.0,32.0,4988500.0,33785786.0,38774286.0,246.0,35.0,4773000.0,27835411.0,32608411.0,252.0,36.0,4515500.0,50054809.0,54570309.0,261.0,32.0,4455500.0,49853035.0,54308535.0,265.0,35.0,4730462.0,29566952.1,34297414.1,251.0,35.0,4497213.05,29232590.0,33729803.05,242.0,31.0,4265000.0,29690778.0,33955778.0,223.0,28.0,3948000.0,26941199.0,30889199.0,233.0,28.0,4336500.0,28628402.0,32964902.0,227.0,30.0,4379000.0,29454497.0,33833497.0,233.0,32.0,4671500.0,34294490.67,38965990.67,239.0,27.0,4394000.0,33109094.67,37503094.67,254.0,26.0,5296000.0,28197346.0,33493346.0,258.0,25.0,5451000.0,25363535.0,30814535.0,251.0,26.0,5171000.0,27623628.0,32794628.0,235.0,20.0,5036000.0,26948176.0,31984176.0,235.0,19.0,4968500.0,29948824.0,34917324.0,240.0,22.0,5137500.0,26881657.66,32019157.66,240.0,22.0,5219000.0,27656211.0,32875211.0,247.0,23.0,5281500.0,26211980.0,31493480.0,266.0,25.0,5804500.0,30116895.0,35921395.0,267.0,21.0,6120000.0,31773451.0,37893451.0,264.0,25.0,5816129.0,29267353.0,35083482.0,257.0,28.0,6026000.0,28972857.0,34998857.0,270.0,29.0,6096000.0,30545138.0,36641138.0,271.0,31.0,6070500.0,28852749.0,34923249.0,273.0,30.0,6252500.0,31711892.0,37964392.0
i_CHM,135.0,11.0,2602200.0,40436575.14,43038775.14,144.0,6.0,3077200.0,38896775.71,41973975.71,140.0,15.0,2236700.0,56065228.28,58301928.28,134.0,11.0,2120700.0,54573494.6,56694194.6,144.0,10.0,2566000.0,52538844.0,55104844.0,145.0,11.0,2881900.0,56818329.97,59700229.97,144.0,8.0,2867500.0,69169128.48,72036628.48,133.0,10.0,2511500.0,57729141.96,60240641.96,155.0,8.0,2941950.0,53335604.79,56277554.79,162.0,9.0,3103950.0,56901790.83,60005740.83,156.0,12.0,2814450.0,50199933.0,53014383.0,159.0,12.0,2845450.0,53418709.0,56264159.0,155.0,11.0,2484450.0,52784866.0,55269316.0,169.0,11.0,2810809.0,59172723.0,61983532.0,136.0,10.0,2793450.0,49281769.0,52075219.0,123.0,14.0,2420050.0,44808617.0,47228667.0,116.0,6.0,2170000.0,45499051.0,47669051.0,124.0,9.0,2342000.0,39018434.0,41360434.0,123.0,8.0,2750000.0,35223999.66,37973999.66,123.0,9.0,2795500.0,43887176.99,46682676.99,131.0,7.0,3041000.0,42797066.02,45838066.02,129.0,10.0,2650000.0,42185099.0,44835099.0,129.0,10.0,2284500.0,46895366.0,49179866.0,120.0,5.0,2180500.0,40474077.43,42654577.43,126.0,8.0,1908500.0,46227766.0,48136266.0,130.0,4.0,2398500.0,41813855.6,44212355.6,143.0,8.0,2560250.0,40031631.22,42591881.22,143.0,4.0,2641000.0,54261696.74,56902696.74,140.0,9.0,2255861.0,48110114.67,50365975.67,144.0,9.0,2335582.0,39599310.0,41934892.0,150.0,9.0,4615094.0,29326402.73,33941496.730000004,132.0,7.0,5380444.0,27747732.0,33128176.0,123.0,8.0,2748918.0,27891125.72,30640043.72,129.0,7.0,2817325.0,44537376.34,47354701.34,124.0,8.0,2322250.0,28958919.0,31281169.0,131.0,10.0,2717250.0,34677549.18,37394799.18,137.0,10.0,2851093.0,35873422.91,38724515.91,142.0,8.0,3107250.0,28516765.0,31624015.0,145.0,9.0,3278250.0,31046848.0,34325098.0,145.0,10.0,3238250.0,36358831.59,39597081.59,140.0,7.0,3273250.0,32255532.0,35528782.0,139.0,4.0,3100750.0,29765978.0,32866728.0,151.0,6.0,3710750.0,25102958.0,28813708.0,154.0,7.0,3918250.0,35535975.0,39454225.0
i_AVI,315.0,29.0,7442349.0,40366559.67,47808908.67,316.0,30.0,7511150.0,28127280.88,35638430.879999995,305.0,26.0,7498600.0,42738307.56,50236907.56,295.0,27.0,7192500.0,54616894.25,61809394.25,303.0,34.0,7363900.0,54820979.28,62184879.28,298.0,23.0,7947824.0,58305759.73,66253583.73,306.0,22.0,7657700.0,73687178.67,81344878.67,296.0,27.0,7202000.0,57976481.87,65178481.87,336.0,23.0,9052016.0,69553386.0,78605402.0,340.0,19.0,9433000.0,81995589.0,91428589.0,351.0,22.0,9333885.0,63806654.0,73140539.0,366.0,24.0,9698000.0,77826808.0,87524808.0,446.0,30.0,11264414.0,80970407.86,92234821.86,456.0,35.0,11232998.0,83275232.36,94508230.36,421.0,30.0,10595498.0,72484176.0,83079674.0,386.0,24.0,9722333.0,73637599.93,83359932.93,397.0,26.0,11099534.0,74540309.53,85639843.53,428.0,27.0,11537735.0,77443557.99,88981292.99,429.0,27.0,11540280.0,76190054.0,87730334.0,410.0,34.0,10779692.0,80046145.1,90825837.1,418.0,22.0,11027874.0,59817819.94,70845693.94,446.0,27.0,11869440.0,73205466.2,85074906.2,455.0,32.0,11091529.05,73492115.0,84583644.05,435.0,38.0,10235770.0,68260831.1,78496601.1,392.0,29.0,10042625.0,62976565.05,73019190.05,407.0,37.0,10515114.0,55171167.43,65686281.43,392.0,33.0,9334616.0,56624076.84,65958692.84,413.0,34.0,10199000.0,62921360.19,73120360.19,437.0,35.0,10410657.0,67456578.0,77867235.0,439.0,40.0,10988448.0,55564690.0,66553138.0,451.0,38.0,10959267.0,59276967.0,70236234.0,440.0,36.0,10810632.0,61604101.05,72414733.05,432.0,32.0,10493200.0,57983828.28,68477028.28,429.0,31.0,11790700.0,48216186.0,60006886.0,427.0,31.0,10815350.0,57925773.0,68741123.0,418.0,25.0,10746350.0,58677024.0,69423374.0,437.0,32.0,11328358.0,62049702.0,73378060.0,432.0,31.0,11307070.0,52675803.98,63982873.98,438.0,29.0,11648386.0,61519659.0,73168045.0,430.0,25.0,11464337.0,60824028.2,72288365.2,491.0,32.0,12519337.0,69335895.69,81855232.69,539.0,39.0,13821927.0,68641883.01,82463810.01,564.0,33.0,15117800.0,64456904.0,79574704.0,564.0,41.0,15438233.0,71070848.29,86509081.29
i_CON,42.0,6.0,533500.0,5382206.0,5915706.0,36.0,4.0,521000.0,5822247.48,6343247.48,39.0,4.0,1248489.0,8424735.0,9673224.0,36.0,3.0,630000.0,8723843.0,9353843.0,35.0,7.0,650000.0,6032619.0,6682619.0,49.0,7.0,630000.0,30896896.35,31526896.35,51.0,10.0,549500.0,36912656.91,37462156.91,42.0,10.0,506000.0,3946816.0,4452816.0,39.0,9.0,655000.0,3310450.0,3965450.0,37.0,7.0,560500.0,3978334.0,4538834.0,41.0,9.0,682500.0,3860996.0,4543496.0,40.0,10.0,672500.0,4069650.0,4742150.0,44.0,9.0,841500.0,4812622.0,5654122.0,47.0,8.0,967500.0,6407305.0,7374805.0,49.0,9.0,932500.0,5781281.0,6713781.0,43.0,8.0,685000.0,5561161.0,6246161.0,55.0,8.0,1030000.0,9225196.0,10255196.0,53.0,8.0,833000.0,5962707.0,6795707.0,52.0,8.0,845000.0,5146757.0,5991757.0,47.0,8.0,685000.0,10777518.0,11462518.0,50.0,11.0,705000.0,4772881.0,5477881.0,60.0,14.0,848962.0,9463773.0,10312735.0,60.0,12.0,952013.05,5581247.0,6533260.05,57.0,5.0,815000.0,5090471.18,5905471.18,62.0,14.0,805000.0,4645018.0,5450018.0,61.0,9.0,1021822.0,4187797.0,5209619.0,61.0,9.0,1079359.0,2790857.0,3870216.0,56.0,8.0,919000.0,3406028.0,4325028.0,57.0,10.0,853000.0,4326913.0,5179913.0,55.0,12.0,740000.0,5477373.0,6217373.0,54.0,9.0,3003844.0,5363575.0,8367419.0,52.0,8.0,3948844.0,4776030.0,8724874.0,51.0,9.0,861000.0,6114334.83,6975334.83,53.0,11.0,721500.0,7038880.0,7760380.0,50.0,11.0,776000.0,7419200.0,8195200.0,52.0,12.0,786500.0,7550041.0,8336541.0,59.0,12.0,951500.0,7247164.0,8198664.0,55.0,14.0,911500.0,6742666.0,7654166.0,48.0,9.0,969500.0,5273659.0,6243159.0,54.0,18.0,866500.0,4863513.0,5730013.0,48.0,12.0,846500.0,5569706.0,6416206.0,51.0,12.0,776500.0,5089180.0,5865680.0,50.0,11.0,786500.0,5106281.0,5892781.0,47.0,10.0,786500.0,5529463.0,6315963.0
i_FAM,56.0,10.0,414000.0,4664440.69,5078440.69,57.0,12.0,410000.0,5468981.47,5878981.47,55.0,10.0,399400.0,5316430.34,5715830.34,59.0,10.0,406800.0,5965596.27,6372396.27,56.0,17.0,304000.0,4596282.28,4900282.28,58.0,10.0,379000.0,6071358.43,6450358.43,60.0,17.0,574000.0,5006903.2,5580903.2,52.0,12.0,403000.0,4219794.53,4622794.53,60.0,12.0,420000.0,7985878.06,8405878.059999999,65.0,12.0,508000.0,4802433.0,5310433.0,67.0,14.0,508000.0,5520569.0,6028569.0,65.0,13.0,508000.0,4701917.0,5209917.0,60.0,13.0,693000.0,4901714.0,5594714.0,62.0,14.0,633000.0,5981873.0,6614873.0,69.0,15.0,573000.0,5994450.0,6567450.0,57.0,13.0,393000.0,5036090.0,5429090.0,63.0,15.0,333000.0,5686706.6,6019706.6,55.0,15.0,349271.0,5099400.0,5448671.0,59.0,16.0,265000.0,4637688.0,4902688.0,59.0,16.0,390800.0,5091124.0,5481924.0,60.0,15.0,377249.0,5025861.0,5403110.0,61.0,17.0,322249.0,5272790.0,5595039.0,59.0,16.0,449749.0,4024864.0,4474613.0,56.0,14.0,444749.0,6787554.0,7232303.0,55.0,15.0,387552.0,5296077.53,5683629.53,60.0,14.0,696322.0,6133677.0,6829999.0,61.0,12.0,572250.0,3993230.0,4565480.0,58.0,12.0,565000.0,5177498.0,5742498.0,62.0,14.0,566000.0,9459008.0,10025008.0,63.0,14.0,528500.0,4791231.37,5319731.37,60.0,14.0,533500.0,4039061.92,4572561.92,53.0,13.0,488500.0,4211271.95,4699771.95,66.0,13.0,654500.0,7030387.29,7684887.29,72.0,15.0,782500.0,5950559.84,6733059.84,85.0,22.0,983832.0,8998372.61,9982204.61,87.0,18.0,1261500.0,10388919.87,11650419.87,88.0,22.0,1050500.0,9894706.7,10945206.7,93.0,22.0,1156765.0,10066236.17,11223001.17,87.0,22.0,1041500.0,11320915.0,12362415.0,86.0,23.0,873903.7,11030045.21,11903948.91,83.0,21.0,674000.0,9161771.0,9835771.0,88.0,23.0,831500.0,11126677.01,11958177.01,85.0,21.0,809500.0,10084636.49,10894136.49,85.0,22.0,967500.0,10645453.08,11612953.08
